UNIT_ID,USE_TYPE,NAME,NAME_LONG,LEVEL_ID,CAPACITY,AREA_ID,ASSIGNMENT_TYPE,AREA_GROSS,HEIGHT_RELATIVE,RESERVATION_METHOD,VALIDATIONSTATUS,Extrude1,fire_intensity,people,temperature,start_time,start_time_txt,end_time,end_time_txt,active_rooms,max_people,sqm_pp,nr_people_height,Z_Mean,ORIG_FID,POINT_X,POINT_Y,POINT_Z
ETH.LEE.E.E_100.0001,Treppe,LEE E 100.0001,LEE E 100.0001,ETH.LEE.E,,,none,29.489782144925709,4.000000000000000,,2,3.8000000,,0,,11/11/2023 11:11:00,11/11/2023 11:11:00 AM,11/11/2023 11:11:30,11/11/2023 11:11:30 AM,1,2,10,0.0000000,442.999999999999943,1,951342.027499999850988,6004044.577200002968311,442.999999999999943
ETH.LEE.E.E_100.001,Gang,LEE E 100.001,LEE E 100.001,ETH.LEE.E,,,none,100.973819938461133,4.000000000000000,,2,0.1000000,,0,,11/11/2023 11:11:00,11/11/2023 11:11:00 AM,11/11/2023 11:11:30,11/11/2023 11:11:30 AM,1,10,10,0.0000000,443.000000000000000,2,951334.302999999374151,6004039.184000000357628,443.000000000000000
ETH.LEE.E.E_100.0002,Gang,LEE E 100.0002,LEE E 100.0002,ETH.LEE.E,,,none,23.494786756391370,4.000000000000000,,2,0.1000000,,0,,11/11/2023 11:11:00,11/11/2023 11:11:00 AM,11/11/2023 11:11:30,11/11/2023 11:11:30 AM,1,2,10,0.0000000,443.000000000000114,3,951336.743200000375509,6004049.484800003468990,443.000000000000114
ETH.LEE.E.E_100.003,Gang,LEE E 100.003,LEE E 100.003,ETH.LEE.E,,,none,16.172957716682866,4.000000000000000,,2,0.1000000,,0,,11/11/2023 11:11:00,11/11/2023 11:11:00 AM,11/11/2023 11:11:30,11/11/2023 11:11:30 AM,1,1,10,0.0000000,442.999999999999659,4,951341.513300001621246,6004051.523199997842312,442.999999999999659
ETH.LEE.E.E_101,Hoersaal,LEE E 101,Hörsaal LEE E 101,ETH.LEE.E,,,none,414.004528459962557,4.000000000000000,,2,2.8000000,,41,,11/11/2023 11:11:00,11/11/2023 11:11:00 AM,11/11/2023 11:11:30,11/11/2023 11:11:30 AM,1,41,10,2.8000000,442.999999999999943,5,951329.706399999558926,6004059.619800001382828,442.999999999999943
ETH.LEE.F.F_200.0001,Treppe,LEE F 200.0001,LEE F 200.0001,ETH.LEE.F,,,none,38.797864749292607,4.000000000000000,,2,3.8000000,,0,,11/11/2023 11:11:00,11/11/2023 11:11:00 AM,11/11/2023 11:11:30,11/11/2023 11:11:30 AM,1,3,10,0.0000000,447.000000000000057,6,951355.332199998199940,6004000.151900000870228,447.000000000000057
ETH.LEE.F.F_200.002,Gang,LEE F 200.002,LEE F 200.002,ETH.LEE.F,,,none,139.914408053955810,4.000000000000000,,2,0.1000000,,0,,11/11/2023 11:11:00,11/11/2023 11:11:00 AM,11/11/2023 11:11:30,11/11/2023 11:11:30 AM,1,13,10,0.0000000,446.999999999999829,7,951353.006999999284744,6003996.736100003123283,446.999999999999829
ETH.LEE.F.F_100.0002,Gang,LEE F 100.0002,LEE F 100.0002,ETH.LEE.F,,,none,45.683217200168805,4.000000000000000,,2,0.1000000,,0,,11/11/2023 11:11:00,11/11/2023 11:11:00 AM,11/11/2023 11:11:30,11/11/2023 11:11:30 AM,1,4,10,0.0000000,446.999999999999886,8,951339.478700000792742,6004039.077899999916553,446.999999999999886
ETH.LEE.F.F_100.0001,Treppe,LEE F 100.0001,LEE F 100.0001,ETH.LEE.F,,,none,29.489690849588509,4.000000000000000,,2,3.8000000,,0,,11/11/2023 11:11:00,11/11/2023 11:11:00 AM,11/11/2023 11:11:30,11/11/2023 11:11:30 AM,1,2,10,0.0000000,446.999999999999943,9,951342.027499999850988,6004044.577200002968311,446.999999999999943
ETH.LEE.F.F_100.002,Gang,LEE F 100.002,LEE F 100.002,ETH.LEE.F,,,none,349.378367524956957,4.000000000000000,,2,0.1000000,,0,,11/11/2023 11:11:00,11/11/2023 11:11:00 AM,11/11/2023 11:11:30,11/11/2023 11:11:30 AM,1,34,10,0.0000000,446.999999999999773,10,951336.750500001013279,6004034.023400001227856,446.999999999999773
ETH.LEE.G.G_200.0001,Treppe,LEE G 200.0001,LEE G 200.0001,ETH.LEE.G,,,none,38.797433342500021,4.000000000000000,,2,3.8000000,,0,,11/11/2023 11:11:00,11/11/2023 11:11:00 AM,11/11/2023 11:11:30,11/11/2023 11:11:30 AM,1,3,10,0.0000000,451.000000000000000,11,951355.332199998199940,6004000.152000002563000,451.000000000000000
ETH.LEE.H.H_200.0001,Treppe,LEE H 200.0001,LEE H 200.0001,ETH.LEE.H,,,none,38.797996932166683,4.000000000000000,,2,3.8000000,,0,,11/11/2023 11:11:00,11/11/2023 11:11:00 AM,11/11/2023 11:11:30,11/11/2023 11:11:30 AM,1,3,10,0.0000000,455.000000000000057,12,951355.332199998199940,6004000.151900000870228,455.000000000000057
ETH.LEE.J.J_200.0001,Treppe,LEE J 200.0001,LEE J 200.0001,ETH.LEE.J,,,none,38.797750769222219,4.000000000000000,,2,3.8000000,,0,,11/11/2023 11:11:00,11/11/2023 11:11:00 AM,11/11/2023 11:11:30,11/11/2023 11:11:30 AM,1,3,10,0.0000000,459.000000000000000,13,951355.332199998199940,6004000.151900000870228,459.000000000000000
ETH.LEE.J.J_201,Buero,LEE J 201,LEE J 201,ETH.LEE.J,,,none,91.478849216126491,4.000000000000000,,2,2.8000000,,9,,11/11/2023 11:11:00,11/11/2023 11:11:00 AM,11/11/2023 11:11:30,11/11/2023 11:11:30 AM,1,9,10,2.8000000,459.000000000000057,14,951343.056000001728535,6004004.541900001466274,459.000000000000057
ETH.LEE.J.J_200.002,Gang,LEE J 200.002,LEE J 200.002,ETH.LEE.J,,,none,332.689532325359437,4.000000000000000,,2,0.1000000,,0,,11/11/2023 11:11:00,11/11/2023 11:11:00 AM,11/11/2023 11:11:30,11/11/2023 11:11:30 AM,1,33,10,0.0000000,459.000000000000227,15,951352.245900001376867,6003998.503700003027916,459.000000000000227
