start_time,end_time,elevation,car_id,point_X,point_Y,point_Z
11:11:2023 11:11:00 AM,11:11:2023 11:11:30 AM,,az195,951381.5625,6008852,0
11:11:2023 11:11:00 AM,11:11:2023 11:11:30 AM,,az544,946354.5625,6007893,0
11:11:2023 11:11:00 AM,11:11:2023 11:11:30 AM,,az199,944696.375,6005488.5,0
11:11:2023 11:11:30 AM,11:11:2023 11:12:00 AM,,az195,951459.4375,6008773.5,0
11:11:2023 11:11:30 AM,11:11:2023 11:12:00 AM,,az544,946361.375,6007820.5,0
11:11:2023 11:11:30 AM,11:11:2023 11:12:00 AM,,az199,944741.625,6005589.5,0
11:11:2023 11:12:00 AM,11:11:2023 11:12:30 AM,,az195,951430.9375,6008893,0
11:11:2023 11:12:00 AM,11:11:2023 11:12:30 AM,,az544,946504.4375,6007733.5,0
11:11:2023 11:12:00 AM,11:11:2023 11:12:30 AM,,az199,945024.6875,6005501.5,0
11:11:2023 11:12:30 AM,11:11:2023 11:13:00 AM,,az195,951607.4375,6008555,0
11:11:2023 11:12:30 AM,11:11:2023 11:13:00 AM,,az544,946648.5,6007637.5,0
11:11:2023 11:12:30 AM,11:11:2023 11:13:00 AM,,az199,945209.875,6005632,0
11:11:2023 11:13:00 AM,11:11:2023 11:13:30 AM,,az195,951520.8125,6008182.5,0
11:11:2023 11:13:00 AM,11:11:2023 11:13:30 AM,,az544,946800.25,6007514,0
11:11:2023 11:13:00 AM,11:11:2023 11:13:30 AM,,az199,945309.625,6006008,0
11:11:2023 11:13:30 AM,11:11:2023 11:14:00 AM,,az195,951258.4375,6007867,0
11:11:2023 11:13:30 AM,11:11:2023 11:14:00 AM,,az544,946889.1875,6007355.5,0
11:11:2023 11:13:30 AM,11:11:2023 11:14:00 AM,,az199,945391.3125,6006352.5,0
11:11:2023 11:14:00 AM,11:11:2023 11:14:30 AM,,az195,950994.1875,6007595.5,0
11:11:2023 11:14:00 AM,11:11:2023 11:14:30 AM,,az544,947095.6875,6007197.5,0
11:11:2023 11:14:00 AM,11:11:2023 11:14:30 AM,,az199,945514.625,6006512.5,0
11:11:2023 11:14:30 AM,11:11:2023 11:15:00 AM,,az195,950636.1875,6007395.5,0
11:11:2023 11:14:30 AM,11:11:2023 11:15:00 AM,,az544,947416.5,6007044.5,0
11:11:2023 11:14:30 AM,11:11:2023 11:15:00 AM,,az199,945959.5625,6006517.5,0
11:11:2023 11:15:00 AM,11:11:2023 11:15:30 AM,,az195,950242.25,6007315,0
11:11:2023 11:15:00 AM,11:11:2023 11:15:30 AM,,az544,947760.25,6007002,0
11:11:2023 11:15:00 AM,11:11:2023 11:15:30 AM,,az199,946417.375,6006482.5,0
11:11:2023 11:15:30 AM,11:11:2023 11:16:00 AM,,az195,949798.75,6007215.5,0
11:11:2023 11:15:30 AM,11:11:2023 11:16:00 AM,,az544,948156.8125,6006876,0
11:11:2023 11:15:30 AM,11:11:2023 11:16:00 AM,,az199,946656.8125,6006287.5,0
11:11:2023 11:16:00 AM,11:11:2023 11:16:30 AM,,az195,949400.625,6007046.5,0
11:11:2023 11:16:00 AM,11:11:2023 11:16:30 AM,,az544,948602.9375,6006627.5,0
11:11:2023 11:16:00 AM,11:11:2023 11:16:30 AM,,az199,947008.5625,6006150.5,0
11:11:2023 11:16:30 AM,11:11:2023 11:17:00 AM,,az195,949072.0625,6006746,0
11:11:2023 11:16:30 AM,11:11:2023 11:17:00 AM,,az544,948736.625,6006155.5,0
11:11:2023 11:16:30 AM,11:11:2023 11:17:00 AM,,az199,947329.625,6006004,0
11:11:2023 11:17:00 AM,11:11:2023 11:17:30 AM,,az195,948854.8125,6006332.5,0
11:11:2023 11:17:00 AM,11:11:2023 11:17:30 AM,,az544,948242.125,6006249,0
11:11:2023 11:17:00 AM,11:11:2023 11:17:30 AM,,az199,947569.9375,6005915,0
11:11:2023 11:17:30 AM,11:11:2023 11:18:00 AM,,az195,948521.75,6006156,0
11:11:2023 11:17:30 AM,11:11:2023 11:18:00 AM,,az544,947831.125,6006210,0
11:11:2023 11:17:30 AM,11:11:2023 11:18:00 AM,,az199,947680.0625,6006148,0
11:11:2023 11:18:00 AM,11:11:2023 11:18:30 AM,,az195,948166.6875,6006264.5,0
11:11:2023 11:18:00 AM,11:11:2023 11:18:30 AM,,az544,947640.25,6006290.5,0
11:11:2023 11:18:00 AM,11:11:2023 11:18:30 AM,,az199,947726.3125,6006245,0
11:11:2023 11:18:30 AM,11:11:2023 11:19:00 AM,,az195,947885.0625,6006183,0
11:11:2023 11:18:30 AM,11:11:2023 11:19:00 AM,,az544,947640.25,6006290.5,0
11:11:2023 11:18:30 AM,11:11:2023 11:19:00 AM,,az199,947662.0625,6006288.5,0
11:11:2023 11:19:00 AM,11:11:2023 11:19:30 AM,,az195,947655.6875,6006280.5,0
11:11:2023 11:19:00 AM,11:11:2023 11:19:30 AM,,az544,947640.25,6006290.5,0
11:11:2023 11:19:00 AM,11:11:2023 11:19:30 AM,,az199,947662.0625,6006288.5,0
11:11:2023 11:19:30 AM,11:11:2023 11:20:00 AM,,az195,947655.6875,6006280.5,0
11:11:2023 11:19:30 AM,11:11:2023 11:20:00 AM,,az544,947640.25,6006290.5,0
11:11:2023 11:19:30 AM,11:11:2023 11:20:00 AM,,az199,947662.0625,6006288.5,0
11:11:2023 11:20:00 AM,11:11:2023 11:20:30 AM,,az195,947655.6875,6006280.5,0
11:11:2023 11:20:00 AM,11:11:2023 11:20:30 AM,,az544,947640.25,6006290.5,0
11:11:2023 11:20:00 AM,11:11:2023 11:20:30 AM,,az199,947662.0625,6006288.5,0
11:11:2023 11:20:30 AM,11:11:2023 11:21:00 AM,,az195,947655.6875,6006280.5,0
11:11:2023 11:20:30 AM,11:11:2023 11:21:00 AM,,az544,947640.25,6006290.5,0
11:11:2023 11:20:30 AM,11:11:2023 11:21:00 AM,,az199,947662.0625,6006288.5,0
11:11:2023 11:21:00 AM,11:11:2023 11:21:30 AM,,az195,947655.6875,6006280.5,0
11:11:2023 11:21:00 AM,11:11:2023 11:21:30 AM,,az544,947640.25,6006290.5,0
11:11:2023 11:21:00 AM,11:11:2023 11:21:30 AM,,az199,947662.0625,6006288.5,0
11:11:2023 11:21:30 AM,11:11:2023 11:22:00 AM,,az195,947655.6875,6006280.5,0
11:11:2023 11:21:30 AM,11:11:2023 11:22:00 AM,,az544,947640.25,6006290.5,0
11:11:2023 11:21:30 AM,11:11:2023 11:22:00 AM,,az199,947662.0625,6006288.5,0
11:11:2023 11:22:00 AM,11:11:2023 11:22:30 AM,,az195,947655.6875,6006280.5,0
11:11:2023 11:22:00 AM,11:11:2023 11:22:30 AM,,az544,947640.25,6006290.5,0
11:11:2023 11:22:00 AM,11:11:2023 11:22:30 AM,,az199,947662.0625,6006288.5,0
11:11:2023 11:22:30 AM,11:11:2023 11:23:00 AM,,az195,947655.6875,6006280.5,0
11:11:2023 11:22:30 AM,11:11:2023 11:23:00 AM,,az544,947640.25,6006290.5,0
11:11:2023 11:22:30 AM,11:11:2023 11:23:00 AM,,az199,947662.0625,6006288.5,0
11:11:2023 11:23:00 AM,11:11:2023 11:23:30 AM,,az195,947655.6875,6006280.5,0
11:11:2023 11:23:00 AM,11:11:2023 11:23:30 AM,,az544,947640.25,6006290.5,0
11:11:2023 11:23:00 AM,11:11:2023 11:23:30 AM,,az199,947662.0625,6006288.5,0
11:11:2023 11:23:30 AM,11:11:2023 11:24:00 AM,,az195,947655.6875,6006280.5,0
11:11:2023 11:23:30 AM,11:11:2023 11:24:00 AM,,az544,947640.25,6006290.5,0
11:11:2023 11:23:30 AM,11:11:2023 11:24:00 AM,,az199,947662.0625,6006288.5,0
11:11:2023 11:24:00 AM,11:11:2023 11:24:30 AM,,az195,947655.6875,6006280.5,0
11:11:2023 11:24:00 AM,11:11:2023 11:24:30 AM,,az544,947640.25,6006290.5,0
11:11:2023 11:24:00 AM,11:11:2023 11:24:30 AM,,az199,947662.0625,6006288.5,0
11:11:2023 11:24:30 AM,11:11:2023 11:25:00 AM,,az195,947655.6875,6006280.5,0
11:11:2023 11:24:30 AM,11:11:2023 11:25:00 AM,,az544,947640.25,6006290.5,0
11:11:2023 11:24:30 AM,11:11:2023 11:25:00 AM,,az199,947662.0625,6006288.5,0
11:11:2023 11:25:00 AM,11:11:2023 11:25:30 AM,,az195,947655.6875,6006280.5,0
11:11:2023 11:25:00 AM,11:11:2023 11:25:30 AM,,az544,947640.25,6006290.5,0
11:11:2023 11:25:00 AM,11:11:2023 11:25:30 AM,,az199,947662.0625,6006288.5,0
11:11:2023 11:25:30 AM,11:11:2023 11:26:00 AM,,az195,947655.6875,6006280.5,0
11:11:2023 11:25:30 AM,11:11:2023 11:26:00 AM,,az544,947640.25,6006290.5,0
11:11:2023 11:25:30 AM,11:11:2023 11:26:00 AM,,az199,947662.0625,6006288.5,0
